,exp_name,task_number,task_trained_on,model,lambda,accuracy
naive_train43_eval17,exp1,17,43,naive,,46.5
foolish_train43_eval17,exp1,17,43,foolish,,49.5
EWC_train43_eval17,exp1,17,43,EWC,0.4,51.0
naive_train44_eval17,exp1,17,44,naive,,48.5
foolish_train44_eval17,exp1,17,44,foolish,,47.5
EWC_train44_eval17,exp1,17,44,EWC,0.4,60.0
naive_train45_eval17,exp1,17,45,naive,,50.5
foolish_train45_eval17,exp1,17,45,foolish,,56.5
EWC_train45_eval17,exp1,17,45,EWC,0.4,51.0
naive_train46_eval17,exp1,17,46,naive,,43.5
foolish_train46_eval17,exp1,17,46,foolish,,30.5
EWC_train46_eval17,exp1,17,46,EWC,0.4,35.5
naive_train47_eval17,exp1,17,47,naive,,69.5
foolish_train47_eval17,exp1,17,47,foolish,,62.5
EWC_train47_eval17,exp1,17,47,EWC,0.4,53.0
naive_train48_eval17,exp1,17,48,naive,,46.0
foolish_train48_eval17,exp1,17,48,foolish,,54.0
EWC_train48_eval17,exp1,17,48,EWC,0.4,48.5
naive_train49_eval17,exp1,17,49,naive,,36.0
foolish_train49_eval17,exp1,17,49,foolish,,31.0
EWC_train49_eval17,exp1,17,49,EWC,0.4,43.5
naive_train18_eval18,exp1,18,18,naive,,60.0
foolish_train18_eval18,exp1,18,18,foolish,,75.5
EWC_train18_eval18,exp1,18,18,EWC,0.4,68.0
naive_train19_eval18,exp1,18,19,naive,,51.5
foolish_train19_eval18,exp1,18,19,foolish,,58.5
EWC_train19_eval18,exp1,18,19,EWC,0.4,54.5
naive_train20_eval18,exp1,18,20,naive,,51.0
foolish_train20_eval18,exp1,18,20,foolish,,51.5
EWC_train20_eval18,exp1,18,20,EWC,0.4,56.5
naive_train21_eval18,exp1,18,21,naive,,59.5
foolish_train21_eval18,exp1,18,21,foolish,,52.0
EWC_train21_eval18,exp1,18,21,EWC,0.4,55.5
naive_train22_eval18,exp1,18,22,naive,,61.5
foolish_train22_eval18,exp1,18,22,foolish,,58.5
EWC_train22_eval18,exp1,18,22,EWC,0.4,56.0
naive_train23_eval18,exp1,18,23,naive,,54.5
foolish_train23_eval18,exp1,18,23,foolish,,52.5
EWC_train23_eval18,exp1,18,23,EWC,0.4,54.5
naive_train24_eval18,exp1,18,24,naive,,58.5
foolish_train24_eval18,exp1,18,24,foolish,,62.5
EWC_train24_eval18,exp1,18,24,EWC,0.4,54.5
naive_train25_eval18,exp1,18,25,naive,,38.0
foolish_train25_eval18,exp1,18,25,foolish,,41.0
EWC_train25_eval18,exp1,18,25,EWC,0.4,52.0
naive_train26_eval18,exp1,18,26,naive,,52.5
foolish_train26_eval18,exp1,18,26,foolish,,49.5
EWC_train26_eval18,exp1,18,26,EWC,0.4,54.5
naive_train27_eval18,exp1,18,27,naive,,50.5
foolish_train27_eval18,exp1,18,27,foolish,,50.0
EWC_train27_eval18,exp1,18,27,EWC,0.4,58.0
naive_train28_eval18,exp1,18,28,naive,,46.0
foolish_train28_eval18,exp1,18,28,foolish,,47.5
EWC_train28_eval18,exp1,18,28,EWC,0.4,47.5
naive_train29_eval18,exp1,18,29,naive,,45.0
foolish_train29_eval18,exp1,18,29,foolish,,58.5
EWC_train29_eval18,exp1,18,29,EWC,0.4,52.5
naive_train30_eval18,exp1,18,30,naive,,46.0
foolish_train30_eval18,exp1,18,30,foolish,,47.0
EWC_train30_eval18,exp1,18,30,EWC,0.4,50.0
naive_train31_eval18,exp1,18,31,naive,,54.0
foolish_train31_eval18,exp1,18,31,foolish,,46.0
EWC_train31_eval18,exp1,18,31,EWC,0.4,64.0
naive_train32_eval18,exp1,18,32,naive,,57.0
foolish_train32_eval18,exp1,18,32,foolish,,47.0
EWC_train32_eval18,exp1,18,32,EWC,0.4,56.0
naive_train33_eval18,exp1,18,33,naive,,44.5
foolish_train33_eval18,exp1,18,33,foolish,,53.5
EWC_train33_eval18,exp1,18,33,EWC,0.4,49.0
naive_train34_eval18,exp1,18,34,naive,,45.0
foolish_train34_eval18,exp1,18,34,foolish,,50.5
EWC_train34_eval18,exp1,18,34,EWC,0.4,57.0
naive_train35_eval18,exp1,18,35,naive,,53.5
foolish_train35_eval18,exp1,18,35,foolish,,51.0
EWC_train35_eval18,exp1,18,35,EWC,0.4,57.0
naive_train36_eval18,exp1,18,36,naive,,51.5
foolish_train36_eval18,exp1,18,36,foolish,,55.0
EWC_train36_eval18,exp1,18,36,EWC,0.4,58.5
naive_train37_eval18,exp1,18,37,naive,,50.0
foolish_train37_eval18,exp1,18,37,foolish,,57.5
EWC_train37_eval18,exp1,18,37,EWC,0.4,55.0
naive_train38_eval18,exp1,18,38,naive,,57.0
foolish_train38_eval18,exp1,18,38,foolish,,59.0
EWC_train38_eval18,exp1,18,38,EWC,0.4,55.0
naive_train39_eval18,exp1,18,39,naive,,55.0
foolish_train39_eval18,exp1,18,39,foolish,,53.5
EWC_train39_eval18,exp1,18,39,EWC,0.4,55.5
naive_train40_eval18,exp1,18,40,naive,,43.5
foolish_train40_eval18,exp1,18,40,foolish,,55.5
EWC_train40_eval18,exp1,18,40,EWC,0.4,53.5
naive_train41_eval18,exp1,18,41,naive,,37.0
foolish_train41_eval18,exp1,18,41,foolish,,47.5
EWC_train41_eval18,exp1,18,41,EWC,0.4,58.0
naive_train42_eval18,exp1,18,42,naive,,53.5
foolish_train42_eval18,exp1,18,42,foolish,,53.0
EWC_train42_eval18,exp1,18,42,EWC,0.4,58.0
naive_train43_eval18,exp1,18,43,naive,,51.5
foolish_train43_eval18,exp1,18,43,foolish,,63.5
EWC_train43_eval18,exp1,18,43,EWC,0.4,60.5
naive_train44_eval18,exp1,18,44,naive,,58.0
foolish_train44_eval18,exp1,18,44,foolish,,56.5
EWC_train44_eval18,exp1,18,44,EWC,0.4,60.5
naive_train45_eval18,exp1,18,45,naive,,53.0
foolish_train45_eval18,exp1,18,45,foolish,,54.5
EWC_train45_eval18,exp1,18,45,EWC,0.4,52.5
naive_train46_eval18,exp1,18,46,naive,,43.5
foolish_train46_eval18,exp1,18,46,foolish,,47.0
EWC_train46_eval18,exp1,18,46,EWC,0.4,47.0
naive_train47_eval18,exp1,18,47,naive,,55.0
foolish_train47_eval18,exp1,18,47,foolish,,44.5
EWC_train47_eval18,exp1,18,47,EWC,0.4,60.0
naive_train48_eval18,exp1,18,48,naive,,45.5
foolish_train48_eval18,exp1,18,48,foolish,,45.5
EWC_train48_eval18,exp1,18,48,EWC,0.4,55.5
naive_train49_eval18,exp1,18,49,naive,,47.5
foolish_train49_eval18,exp1,18,49,foolish,,49.0
EWC_train49_eval18,exp1,18,49,EWC,0.4,54.5
naive_train19_eval19,exp1,19,19,naive,,74.0
foolish_train19_eval19,exp1,19,19,foolish,,86.5
EWC_train19_eval19,exp1,19,19,EWC,0.4,63.5
naive_train20_eval19,exp1,19,20,naive,,37.0
foolish_train20_eval19,exp1,19,20,foolish,,41.0
EWC_train20_eval19,exp1,19,20,EWC,0.4,34.5
naive_train21_eval19,exp1,19,21,naive,,38.5
foolish_train21_eval19,exp1,19,21,foolish,,40.5
EWC_train21_eval19,exp1,19,21,EWC,0.4,37.0
naive_train22_eval19,exp1,19,22,naive,,46.0
foolish_train22_eval19,exp1,19,22,foolish,,38.0
EWC_train22_eval19,exp1,19,22,EWC,0.4,37.5
naive_train23_eval19,exp1,19,23,naive,,49.0
foolish_train23_eval19,exp1,19,23,foolish,,51.0
EWC_train23_eval19,exp1,19,23,EWC,0.4,48.0
naive_train24_eval19,exp1,19,24,naive,,48.0
foolish_train24_eval19,exp1,19,24,foolish,,58.5
EWC_train24_eval19,exp1,19,24,EWC,0.4,44.5
naive_train25_eval19,exp1,19,25,naive,,41.5
foolish_train25_eval19,exp1,19,25,foolish,,32.0
EWC_train25_eval19,exp1,19,25,EWC,0.4,53.0
naive_train26_eval19,exp1,19,26,naive,,53.0
foolish_train26_eval19,exp1,19,26,foolish,,63.5
EWC_train26_eval19,exp1,19,26,EWC,0.4,56.5
naive_train27_eval19,exp1,19,27,naive,,50.0
foolish_train27_eval19,exp1,19,27,foolish,,50.0
EWC_train27_eval19,exp1,19,27,EWC,0.4,58.5
naive_train28_eval19,exp1,19,28,naive,,40.0
foolish_train28_eval19,exp1,19,28,foolish,,35.0
EWC_train28_eval19,exp1,19,28,EWC,0.4,38.5
naive_train29_eval19,exp1,19,29,naive,,44.5
foolish_train29_eval19,exp1,19,29,foolish,,54.5
EWC_train29_eval19,exp1,19,29,EWC,0.4,41.0
naive_train30_eval19,exp1,19,30,naive,,50.0
foolish_train30_eval19,exp1,19,30,foolish,,42.0
EWC_train30_eval19,exp1,19,30,EWC,0.4,52.5
naive_train31_eval19,exp1,19,31,naive,,49.0
foolish_train31_eval19,exp1,19,31,foolish,,47.5
EWC_train31_eval19,exp1,19,31,EWC,0.4,47.0
naive_train32_eval19,exp1,19,32,naive,,53.5
foolish_train32_eval19,exp1,19,32,foolish,,58.5
EWC_train32_eval19,exp1,19,32,EWC,0.4,44.5
naive_train33_eval19,exp1,19,33,naive,,47.5
foolish_train33_eval19,exp1,19,33,foolish,,42.0
EWC_train33_eval19,exp1,19,33,EWC,0.4,48.0
naive_train34_eval19,exp1,19,34,naive,,47.0
foolish_train34_eval19,exp1,19,34,foolish,,49.0
EWC_train34_eval19,exp1,19,34,EWC,0.4,40.5
naive_train35_eval19,exp1,19,35,naive,,53.5
foolish_train35_eval19,exp1,19,35,foolish,,44.0
EWC_train35_eval19,exp1,19,35,EWC,0.4,37.0
naive_train36_eval19,exp1,19,36,naive,,48.5
foolish_train36_eval19,exp1,19,36,foolish,,35.0
EWC_train36_eval19,exp1,19,36,EWC,0.4,35.0
naive_train37_eval19,exp1,19,37,naive,,49.0
foolish_train37_eval19,exp1,19,37,foolish,,49.0
EWC_train37_eval19,exp1,19,37,EWC,0.4,33.5
naive_train38_eval19,exp1,19,38,naive,,43.0
foolish_train38_eval19,exp1,19,38,foolish,,55.5
