,exp_name,task_number,task_trained_on,model,lambda,accuracy
naive_train5_eval4,test,4,5,naive,,66.0
foolish_train5_eval4,test,4,5,foolish,,57.0
EWC_train5_eval4,test,4,5,EWC,0.4,62.5
naive_train6_eval4,test,4,6,naive,,66.5
foolish_train6_eval4,test,4,6,foolish,,63.0
EWC_train6_eval4,test,4,6,EWC,0.4,63.5
naive_train7_eval4,test,4,7,naive,,47.0
foolish_train7_eval4,test,4,7,foolish,,39.0
EWC_train7_eval4,test,4,7,EWC,0.4,60.5
naive_train8_eval4,test,4,8,naive,,31.5
foolish_train8_eval4,test,4,8,foolish,,37.5
EWC_train8_eval4,test,4,8,EWC,0.4,40.5
naive_train9_eval4,test,4,9,naive,,37.0
foolish_train9_eval4,test,4,9,foolish,,39.5
EWC_train9_eval4,test,4,9,EWC,0.4,48.0
naive_train5_eval5,test,5,5,naive,,91.0
foolish_train5_eval5,test,5,5,foolish,,90.5
EWC_train5_eval5,test,5,5,EWC,0.4,86.5
naive_train6_eval5,test,5,6,naive,,82.0
foolish_train6_eval5,test,5,6,foolish,,84.5
EWC_train6_eval5,test,5,6,EWC,0.4,83.0
naive_train7_eval5,test,5,7,naive,,23.0
foolish_train7_eval5,test,5,7,foolish,,9.0
EWC_train7_eval5,test,5,7,EWC,0.4,28.5
naive_train8_eval5,test,5,8,naive,,36.0
foolish_train8_eval5,test,5,8,foolish,,37.0
EWC_train8_eval5,test,5,8,EWC,0.4,37.0
naive_train9_eval5,test,5,9,naive,,37.0
foolish_train9_eval5,test,5,9,foolish,,37.0
EWC_train9_eval5,test,5,9,EWC,0.4,38.5
naive_train6_eval6,test,6,6,naive,,98.0
foolish_train6_eval6,test,6,6,foolish,,97.5
EWC_train6_eval6,test,6,6,EWC,0.4,95.5
naive_train7_eval6,test,6,7,naive,,16.0
foolish_train7_eval6,test,6,7,foolish,,6.0
EWC_train7_eval6,test,6,7,EWC,0.4,39.5
naive_train8_eval6,test,6,8,naive,,10.5
foolish_train8_eval6,test,6,8,foolish,,17.5
EWC_train8_eval6,test,6,8,EWC,0.4,16.0
naive_train9_eval6,test,6,9,naive,,14.0
foolish_train9_eval6,test,6,9,foolish,,25.5
EWC_train9_eval6,test,6,9,EWC,0.4,22.5
naive_train7_eval7,test,7,7,naive,,77.0
foolish_train7_eval7,test,7,7,foolish,,89.0
EWC_train7_eval7,test,7,7,EWC,0.4,64.0
naive_train8_eval7,test,7,8,naive,,59.0
foolish_train8_eval7,test,7,8,foolish,,56.0
EWC_train8_eval7,test,7,8,EWC,0.4,55.5
naive_train9_eval7,test,7,9,naive,,67.0
foolish_train9_eval7,test,7,9,foolish,,60.0
EWC_train9_eval7,test,7,9,EWC,0.4,58.5
naive_train8_eval8,test,8,8,naive,,96.0
foolish_train8_eval8,test,8,8,foolish,,93.5
EWC_train8_eval8,test,8,8,EWC,0.4,96.5
naive_train9_eval8,test,8,9,naive,,89.0
foolish_train9_eval8,test,8,9,foolish,,85.0
EWC_train9_eval8,test,8,9,EWC,0.4,90.5
naive_train9_eval9,test,9,9,naive,,81.0
foolish_train9_eval9,test,9,9,foolish,,80.5
EWC_train9_eval9,test,9,9,EWC,0.4,72.0
