,exp_name,task_number,task_trained_on,model,lambda,accuracy
foolish_train32_eval0,exp1,0,32,foolish,,66.0
EWC_train32_eval0,exp1,0,32,EWC,0.4,63.5
naive_train33_eval0,exp1,0,33,naive,,60.5
foolish_train33_eval0,exp1,0,33,foolish,,45.0
EWC_train33_eval0,exp1,0,33,EWC,0.4,52.5
naive_train34_eval0,exp1,0,34,naive,,51.5
foolish_train34_eval0,exp1,0,34,foolish,,60.0
EWC_train34_eval0,exp1,0,34,EWC,0.4,71.5
naive_train35_eval0,exp1,0,35,naive,,37.5
foolish_train35_eval0,exp1,0,35,foolish,,46.5
EWC_train35_eval0,exp1,0,35,EWC,0.4,43.5
naive_train36_eval0,exp1,0,36,naive,,46.0
foolish_train36_eval0,exp1,0,36,foolish,,56.5
EWC_train36_eval0,exp1,0,36,EWC,0.4,48.0
naive_train37_eval0,exp1,0,37,naive,,42.0
foolish_train37_eval0,exp1,0,37,foolish,,36.5
EWC_train37_eval0,exp1,0,37,EWC,0.4,54.0
naive_train38_eval0,exp1,0,38,naive,,43.5
foolish_train38_eval0,exp1,0,38,foolish,,38.5
EWC_train38_eval0,exp1,0,38,EWC,0.4,43.0
naive_train39_eval0,exp1,0,39,naive,,72.0
foolish_train39_eval0,exp1,0,39,foolish,,68.0
EWC_train39_eval0,exp1,0,39,EWC,0.4,61.0
naive_train40_eval0,exp1,0,40,naive,,68.0
foolish_train40_eval0,exp1,0,40,foolish,,42.0
EWC_train40_eval0,exp1,0,40,EWC,0.4,52.0
naive_train41_eval0,exp1,0,41,naive,,33.5
foolish_train41_eval0,exp1,0,41,foolish,,50.5
EWC_train41_eval0,exp1,0,41,EWC,0.4,55.0
naive_train42_eval0,exp1,0,42,naive,,50.5
foolish_train42_eval0,exp1,0,42,foolish,,35.0
EWC_train42_eval0,exp1,0,42,EWC,0.4,43.0
naive_train43_eval0,exp1,0,43,naive,,64.5
foolish_train43_eval0,exp1,0,43,foolish,,45.5
EWC_train43_eval0,exp1,0,43,EWC,0.4,52.0
naive_train44_eval0,exp1,0,44,naive,,54.5
foolish_train44_eval0,exp1,0,44,foolish,,46.5
EWC_train44_eval0,exp1,0,44,EWC,0.4,40.5
naive_train45_eval0,exp1,0,45,naive,,44.5
foolish_train45_eval0,exp1,0,45,foolish,,41.5
EWC_train45_eval0,exp1,0,45,EWC,0.4,50.0
naive_train46_eval0,exp1,0,46,naive,,51.5
foolish_train46_eval0,exp1,0,46,foolish,,55.0
EWC_train46_eval0,exp1,0,46,EWC,0.4,59.5
naive_train47_eval0,exp1,0,47,naive,,38.0
foolish_train47_eval0,exp1,0,47,foolish,,48.5
EWC_train47_eval0,exp1,0,47,EWC,0.4,45.5
naive_train48_eval0,exp1,0,48,naive,,28.0
foolish_train48_eval0,exp1,0,48,foolish,,32.0
EWC_train48_eval0,exp1,0,48,EWC,0.4,48.0
naive_train49_eval0,exp1,0,49,naive,,45.0
foolish_train49_eval0,exp1,0,49,foolish,,49.5
EWC_train49_eval0,exp1,0,49,EWC,0.4,49.0
naive_train50_eval0,exp1,0,50,naive,,56.0
foolish_train50_eval0,exp1,0,50,foolish,,63.5
EWC_train50_eval0,exp1,0,50,EWC,0.4,50.5
naive_train51_eval0,exp1,0,51,naive,,35.0
foolish_train51_eval0,exp1,0,51,foolish,,33.0
EWC_train51_eval0,exp1,0,51,EWC,0.4,37.5
naive_train52_eval0,exp1,0,52,naive,,69.0
foolish_train52_eval0,exp1,0,52,foolish,,50.0
EWC_train52_eval0,exp1,0,52,EWC,0.4,53.5
naive_train53_eval0,exp1,0,53,naive,,53.5
foolish_train53_eval0,exp1,0,53,foolish,,48.5
EWC_train53_eval0,exp1,0,53,EWC,0.4,50.5
naive_train54_eval0,exp1,0,54,naive,,55.0
foolish_train54_eval0,exp1,0,54,foolish,,52.0
